[dino] N=1000 seed=0 M=16 lambda=0.0 warmup=0 C_norm=2.1495e-03
  epoch   0 | lam 0.000 | fwd 1.0054 | dino 0.9952 | test 0.9941 | nv 0.9919
  epoch  10 | lam 0.000 | fwd 0.2683 | dino 1.3178 | test 0.2643 | nv 0.1013
  epoch  20 | lam 0.000 | fwd 0.1310 | dino 1.4443 | test 0.1467 | nv 0.0517
  epoch  30 | lam 0.000 | fwd 0.0944 | dino 1.4199 | test 0.1081 | nv 0.0413
  epoch  40 | lam 0.000 | fwd 0.0812 | dino 1.3415 | test 0.0911 | nv 0.0345
  epoch  50 | lam 0.000 | fwd 0.0708 | dino 1.3052 | test 0.0819 | nv 0.0294
  epoch  60 | lam 0.000 | fwd 0.0696 | dino 1.2787 | test 0.0733 | nv 0.0270
  epoch  70 | lam 0.000 | fwd 0.0571 | dino 1.2248 | test 0.0674 | nv 0.0245
  epoch  80 | lam 0.000 | fwd 0.0545 | dino 1.1948 | test 0.0689 | nv 0.0255
  epoch  90 | lam 0.000 | fwd 0.0497 | dino 1.1589 | test 0.0625 | nv 0.0237
  epoch 100 | lam 0.000 | fwd 0.0436 | dino 1.1151 | test 0.0555 | nv 0.0209
  epoch 110 | lam 0.000 | fwd 0.0417 | dino 1.0999 | test 0.0549 | nv 0.0206
  epoch 120 | lam 0.000 | fwd 0.0406 | dino 1.0900 | test 0.0518 | nv 0.0188
  epoch 130 | lam 0.000 | fwd 0.0398 | dino 1.0709 | test 0.0513 | nv 0.0187
  epoch 140 | lam 0.000 | fwd 0.0383 | dino 1.0439 | test 0.0491 | nv 0.0184
  epoch 150 | lam 0.000 | fwd 0.0376 | dino 1.0144 | test 0.0502 | nv 0.0189
  epoch 160 | lam 0.000 | fwd 0.0363 | dino 0.9964 | test 0.0474 | nv 0.0177
  epoch 170 | lam 0.000 | fwd 0.0357 | dino 0.9734 | test 0.0466 | nv 0.0176
  epoch 180 | lam 0.000 | fwd 0.0350 | dino 0.9641 | test 0.0466 | nv 0.0179
  epoch 190 | lam 0.000 | fwd 0.0363 | dino 0.9360 | test 0.0441 | nv 0.0165
  epoch 200 | lam 0.000 | fwd 0.0317 | dino 0.9264 | test 0.0427 | nv 0.0162
  epoch 210 | lam 0.000 | fwd 0.0304 | dino 0.9134 | test 0.0422 | nv 0.0159
  epoch 220 | lam 0.000 | fwd 0.0300 | dino 0.9035 | test 0.0418 | nv 0.0151
  epoch 230 | lam 0.000 | fwd 0.0302 | dino 0.9100 | test 0.0413 | nv 0.0157
  epoch 240 | lam 0.000 | fwd 0.0295 | dino 0.8868 | test 0.0421 | nv 0.0160
  epoch 250 | lam 0.000 | fwd 0.0290 | dino 0.8670 | test 0.0406 | nv 0.0152
  epoch 260 | lam 0.000 | fwd 0.0287 | dino 0.8566 | test 0.0398 | nv 0.0154
  epoch 270 | lam 0.000 | fwd 0.0288 | dino 0.8459 | test 0.0398 | nv 0.0154
  epoch 280 | lam 0.000 | fwd 0.0275 | dino 0.8322 | test 0.0405 | nv 0.0150
  epoch 290 | lam 0.000 | fwd 0.0276 | dino 0.8159 | test 0.0385 | nv 0.0146
  epoch 300 | lam 0.000 | fwd 0.0261 | dino 0.8167 | test 0.0379 | nv 0.0143
  epoch 310 | lam 0.000 | fwd 0.0260 | dino 0.8102 | test 0.0376 | nv 0.0138
  epoch 320 | lam 0.000 | fwd 0.0255 | dino 0.7956 | test 0.0379 | nv 0.0145
  epoch 330 | lam 0.000 | fwd 0.0255 | dino 0.7997 | test 0.0371 | nv 0.0142
  epoch 340 | lam 0.000 | fwd 0.0253 | dino 0.7892 | test 0.0368 | nv 0.0141
  epoch 350 | lam 0.000 | fwd 0.0250 | dino 0.7843 | test 0.0364 | nv 0.0138
  epoch 360 | lam 0.000 | fwd 0.0250 | dino 0.7748 | test 0.0370 | nv 0.0140
  epoch 370 | lam 0.000 | fwd 0.0250 | dino 0.7620 | test 0.0364 | nv 0.0137
  epoch 380 | lam 0.000 | fwd 0.0244 | dino 0.7648 | test 0.0365 | nv 0.0138
  epoch 390 | lam 0.000 | fwd 0.0245 | dino 0.7606 | test 0.0362 | nv 0.0136
  epoch 400 | lam 0.000 | fwd 0.0238 | dino 0.7499 | test 0.0352 | nv 0.0133
  epoch 410 | lam 0.000 | fwd 0.0237 | dino 0.7390 | test 0.0352 | nv 0.0134
  epoch 420 | lam 0.000 | fwd 0.0235 | dino 0.7514 | test 0.0352 | nv 0.0134
  epoch 430 | lam 0.000 | fwd 0.0235 | dino 0.7499 | test 0.0353 | nv 0.0137
  epoch 440 | lam 0.000 | fwd 0.0235 | dino 0.7386 | test 0.0348 | nv 0.0133
  epoch 450 | lam 0.000 | fwd 0.0234 | dino 0.7505 | test 0.0348 | nv 0.0133
  epoch 460 | lam 0.000 | fwd 0.0233 | dino 0.7315 | test 0.0348 | nv 0.0136
  epoch 470 | lam 0.000 | fwd 0.0231 | dino 0.7281 | test 0.0347 | nv 0.0131
  epoch 480 | lam 0.000 | fwd 0.0232 | dino 0.7233 | test 0.0344 | nv 0.0130
  epoch 490 | lam 0.000 | fwd 0.0229 | dino 0.7225 | test 0.0346 | nv 0.0133
  done. test rel-L2: 0.0343 | nv: 0.0132
