idx,k0,seed,M,arm,response_err
0,4,0,2,retrain,1.016236986748139
0,4,0,2,clip,1.1342691267788776
0,4,0,4,retrain,0.6558522881376728
0,4,0,4,clip,1.1078465937725972
0,4,0,8,retrain,0.365777435221286
0,4,0,8,clip,0.6997934631554832
0,4,0,12,retrain,0.26840693026889245
0,4,0,12,clip,0.546957100203465
0,4,0,16,retrain,0.4778304617561436
0,4,0,16,clip,0.4778304617561436
0,4,1,2,retrain,0.8996208728121541
0,4,1,2,clip,1.1917174932345704
0,4,1,4,retrain,0.6320951825932725
0,4,1,4,clip,1.1173370045145854
0,4,1,8,retrain,0.3210489881308248
0,4,1,8,clip,0.6751700354733153
0,4,1,12,retrain,0.27783091232200313
0,4,1,12,clip,0.5365419269234795
0,4,1,16,retrain,0.4650646570885668
0,4,1,16,clip,0.4650646570885668
0,4,2,2,retrain,0.9865406166825751
0,4,2,2,clip,1.188212482301738
0,4,2,4,retrain,0.6488541410102148
0,4,2,4,clip,1.138608888842323
0,4,2,8,retrain,0.3236792675891557
0,4,2,8,clip,0.69584978522628
0,4,2,12,retrain,0.2945396492634125
0,4,2,12,clip,0.5579999832427645
0,4,2,16,retrain,0.4841678152573786
0,4,2,16,clip,0.4841678152573786
1,2,0,2,retrain,1.1567084436156578
1,2,0,2,clip,0.9625222486335994
1,2,0,4,retrain,0.4745772139484381
1,2,0,4,clip,0.8828207574869118
1,2,0,8,retrain,0.217119711667502
1,2,0,8,clip,0.6868643109044191
1,2,0,12,retrain,0.20538103648389902
1,2,0,12,clip,0.6413634804239173
1,2,0,16,retrain,0.6044118076740863
1,2,0,16,clip,0.6044118076740863
1,2,1,2,retrain,1.2179308177744526
1,2,1,2,clip,1.022883976981156
1,2,1,4,retrain,0.4328773926031613
1,2,1,4,clip,0.9656016029894499
1,2,1,8,retrain,0.20733128248989469
1,2,1,8,clip,0.8093987243141997
1,2,1,12,retrain,0.33565131207301907
1,2,1,12,clip,0.7527199520124952
1,2,1,16,retrain,0.7115188098978061
1,2,1,16,clip,0.7115188098978061
1,2,2,2,retrain,1.0163792543567938
1,2,2,2,clip,0.9716434876022371
1,2,2,4,retrain,0.4551383804965176
1,2,2,4,clip,0.8475510983274095
1,2,2,8,retrain,0.2100946019012397
1,2,2,8,clip,0.6715660651116403
1,2,2,12,retrain,0.1666906639422642
1,2,2,12,clip,0.6246373994257501
1,2,2,16,retrain,0.5850764424835292
1,2,2,16,clip,0.5850764424835292
2,-3,0,2,retrain,1.0559013162468607
2,-3,0,2,clip,1.1064358564275005
2,-3,0,4,retrain,0.5960716037947912
2,-3,0,4,clip,1.0027065419468937
2,-3,0,8,retrain,0.3287608897364027
2,-3,0,8,clip,0.6482664024686726
2,-3,0,12,retrain,0.22781485988562958
2,-3,0,12,clip,0.5457994757899628
2,-3,0,16,retrain,0.5002537826819018
2,-3,0,16,clip,0.5002537826819018
2,-3,1,2,retrain,1.0750776399740176
2,-3,1,2,clip,1.1730944523135456
2,-3,1,4,retrain,0.5799208831162388
2,-3,1,4,clip,1.081913113142706
2,-3,1,8,retrain,0.3423744869349907
2,-3,1,8,clip,0.7280052108193916
