idx,k0,M,response_err
0,4,2,0.9600011617371831
1,2,2,0.9950375129709401
2,-3,2,0.9991380215610822
3,-2,2,1.146384469180849
4,-3,2,1.0392194994660595
5,3,2,0.905925164003772
6,0,2,0.8986711707758855
7,4,2,0.9772060023600962
8,-4,2,0.9540953672020878
9,3,2,0.9704775821610986
10,0,2,0.8646166646511516
11,-2,2,0.9995580421814833
12,4,2,0.9867049594244137
13,0,2,0.8209288847730449
14,-1,2,1.0290868551679941
15,0,2,0.8796224176824905
16,1,2,1.0031035729078202
17,-1,2,0.773933463319644
18,-2,2,0.9335770620210628
19,-4,2,0.9556755330385749
20,-3,2,0.95150104719576
21,2,2,0.9703020329937374
22,1,2,1.0538159885801115
23,1,2,0.9985042426016941
24,0,2,0.792572847318123
25,3,2,0.9393427160105833
26,3,2,1.0308559576434302
27,1,2,1.082604113356762
28,3,2,0.9882921678278588
29,3,2,1.0029305818857346
30,0,2,0.9866121179127397
31,2,2,1.0192677387292346
32,-2,2,0.957635455821692
33,4,2,0.9975123084341877
34,4,2,1.0470046198205503
35,2,2,0.8288860547662948
36,-2,2,0.8624246975323754
37,1,2,1.0793342596386106
38,-2,2,1.1434180175593598
39,4,2,0.9749142097422515
40,0,2,1.0397795751135597
41,0,2,0.899490468270366
42,2,2,0.9276401001869516
43,1,2,1.0751557846470778
44,-4,2,1.0447840358220635
45,4,2,0.9413237236580855
46,1,2,1.0898530883227824
47,-3,2,0.9330238656697541
48,-4,2,1.0449181616890526
49,0,2,0.9240677205206276
50,-1,2,1.06794977876863
51,0,2,0.867904609464989
52,4,2,1.0372255293418287
53,0,2,0.8989632045073827
54,4,2,1.0002795763047243
55,-1,2,0.8756139151602794
56,3,2,1.020897917294638
57,-3,2,1.0169046161334028
58,4,2,1.0879036978825407
59,1,2,0.9348895419857247
60,4,2,0.996028640079613
61,3,2,0.9442122074500027
62,-1,2,1.100384981569052
63,2,2,1.0518396794862366
64,1,2,0.9871900870333926
65,4,2,1.0093115948324576
66,0,2,0.8734202967386366
67,3,2,0.9429257775519772
68,-1,2,1.0343711013764403
69,1,2,0.9968868877296627
70,-2,2,0.9980440970801406
