M,seed,idx,k0,response_err
12,0,0,4,0.2697144364490328
12,0,1,2,0.2639882969940861
12,0,2,-3,0.2109892833388004
12,0,3,-2,0.20550056776655887
12,0,4,-3,0.2525848124772797
12,0,5,3,0.25309791541674864
12,0,6,0,0.10460666997254002
12,0,7,4,0.28364729769686314
12,0,8,-4,0.279396149348924
12,0,9,3,0.18467264456855345
12,0,10,0,0.13143898177768365
12,0,11,-2,0.19648419334689501
12,0,12,4,0.35986693438975065
12,0,13,0,0.1362199004373826
12,0,14,-1,0.24358791957412612
12,0,15,0,0.1394320729244459
12,0,16,1,0.18970061427838236
12,0,17,-1,0.1977596653907415
12,0,18,-2,0.20669490748947386
12,0,19,-4,0.3040650695039508
12,0,20,-3,0.15225073828084582
12,0,21,2,0.22285296416888128
12,0,22,1,0.20925994486345464
12,0,23,1,0.1939867684879238
12,0,24,0,0.11528579464539143
12,0,25,3,0.25014185858831556
12,0,26,3,0.36268340617320394
12,0,27,1,0.1994725729172157
12,0,28,3,0.2685734456311025
12,0,29,3,0.21481125154856054
12,0,30,0,0.18807571595925812
12,0,31,2,0.18746185905389331
12,0,32,-2,0.16436113320234383
12,0,33,4,0.237129650757877
12,0,34,4,0.2789943453109349
12,0,35,2,0.24549297918399407
12,0,36,-2,0.18142157583289428
12,0,37,1,0.2504369230494672
12,0,38,-2,0.19878567689359236
12,0,39,4,0.2625583478524232
12,0,40,0,0.13791939669664907
12,0,41,0,0.11227147846287795
12,0,42,2,0.23805936844138073
12,0,43,1,0.1780304934091397
12,0,44,-4,0.26190996176897147
12,0,45,4,0.2263879136886516
12,0,46,1,0.21163860211938867
12,0,47,-3,0.185991921577182
12,0,48,-4,0.3211200280352773
12,0,49,0,0.1881170701330036
12,0,50,-1,0.3256181886989254
12,0,51,0,0.10638547761852894
12,0,52,4,0.3233759143191566
12,0,53,0,0.13644557887756267
12,0,54,4,0.2320974284612579
12,0,55,-1,0.1206261204966282
12,0,56,3,0.24893118791279936
12,0,57,-3,0.28601592358558625
12,0,58,4,0.33533863035367945
12,0,59,1,0.26040537880417314
12,0,60,4,0.2325000034395504
12,0,61,3,0.23492259637915325
12,0,62,-1,0.2352144154081035
12,0,63,2,0.2596330149004133
12,0,64,1,0.2528366650728906
12,0,65,4,0.2526782064687751
12,0,66,0,0.13874753833792686
12,0,67,3,0.168546537837417
12,0,68,-1,0.2017611762161357
12,0,69,1,0.24687095527357478
12,0,70,-2,0.21616018308000592
12,0,71,-4,0.32477137775626524
12,0,72,0,0.12759683179953668
12,0,73,3,0.21794894201245468
12,0,74,1,0.13827258852347332
12,0,75,3,0.2428136271631929
12,0,76,4,0.25669881263353267
12,0,77,-3,0.20015475480301703
12,0,78,-4,0.3400182149343932
12,0,79,4,0.23895481508625918
12,0,80,-4,0.21681155958804613
12,0,81,-4,0.2889388110448556
12,0,82,0,0.1282643386250776
12,0,83,3,0.279030768452879
12,0,84,1,0.15792760575544557
12,0,85,-3,0.25122588365464693
12,0,86,3,0.2292643553160488
12,0,87,4,0.2328898607301687
12,0,88,-4,0.276664623662456
12,0,89,3,0.21235537115212044
12,0,90,-3,0.21223163070864903
12,0,91,-2,0.22888374955086455
12,0,92,4,0.23855785974697963
12,0,93,-3,0.21787390388357172
12,0,94,3,0.18451984232580346
12,0,95,3,0.25538294844749054
12,0,96,-4,0.22344958958235037
12,0,97,3,0.21917531436229798
12,0,98,1,0.18166376398451428
12,0,99,0,0.16412460443346638
12,0,100,3,0.23104557229335976
12,0,101,3,0.20786220396278662
12,0,102,3,0.21913056616106108
12,0,103,4,0.2906192169789731
12,0,104,1,0.2582362595844499
12,0,105,4,0.28869378497465475
12,0,106,4,0.285406599810551
12,0,107,3,0.20567498814218954
12,0,108,-1,0.20489957735923256
12,0,109,-1,0.33989709730640033
12,0,110,1,0.24579113170146588
12,0,111,3,0.2004892746087793
12,0,112,-4,0.29421873782334224
12,0,113,4,0.2526199792177553
12,0,114,2,0.2524582525508526
12,0,115,0,0.0964987677044838
12,0,116,3,0.2103010710778472
12,0,117,0,0.15096701135045454
12,0,118,0,0.11651581237001815
12,0,119,-3,0.240978440296664
12,0,120,1,0.291824045956617
12,0,121,-1,0.24521748819232983
