idx,k0,M,response_err
0,4,2,1.1111825340277859
0,4,4,1.020649574962094
0,4,8,0.6050608124610275
0,4,12,0.46329525598699506
0,4,16,0.38618421259071256
1,2,2,0.9886805658424215
1,2,4,0.8997709124854327
1,2,8,0.7156952892093762
1,2,12,0.6642057568609081
1,2,16,0.626454080833869
2,-3,2,1.0876035326673958
2,-3,4,0.929662873622284
2,-3,8,0.5598290809130256
2,-3,12,0.4541574099286727
2,-3,16,0.41015281300463535
3,-2,2,1.031188595835698
3,-2,4,0.917617113629891
3,-2,8,0.6810290237259125
3,-2,12,0.6284525391308352
3,-2,16,0.5898254578384832
4,-3,2,1.04101767524978
4,-3,4,0.954930933789056
4,-3,8,0.6795035695556585
4,-3,12,0.5869745206015163
4,-3,16,0.5361636757747474
5,3,2,1.0496191496310037
5,3,4,0.9599465710438914
5,3,8,0.6238271276162535
5,3,12,0.5155309727311826
5,3,16,0.46126532965969175
6,0,2,0.9473211625850442
6,0,4,0.7850335479981865
6,0,8,0.6124239264238952
6,0,12,0.5698555033410934
6,0,16,0.5355604679007507
7,4,2,1.1128291985826098
7,4,4,1.0389466855866298
7,4,8,0.6341054367517369
7,4,12,0.5077314207885976
7,4,16,0.43905355774235166
8,-4,2,1.0967112370001033
8,-4,4,1.0279280242232105
8,-4,8,0.6451387569905467
8,-4,12,0.49849797251911176
8,-4,16,0.42603811958837334
9,3,2,1.0340021065959124
9,3,4,0.9328713373580381
9,3,8,0.62486429765723
9,3,12,0.5425181229439071
9,3,16,0.5062763140457529
10,0,2,0.957813941977032
10,0,4,0.7507452193836213
10,0,8,0.5574975225192876
10,0,12,0.5033894384944055
10,0,16,0.46494001085237724
11,-2,2,0.9996565827864127
11,-2,4,0.8365059095356511
11,-2,8,0.5574377057448648
11,-2,12,0.49081012192776285
11,-2,16,0.45705274126249795
12,4,2,1.136612718076229
12,4,4,1.1103452618960554
12,4,8,0.7244705123286068
12,4,12,0.5901401085923867
12,4,16,0.5373525704744936
13,0,2,0.9437226209858314
13,0,4,0.7448295717260347
13,0,8,0.5361946525854129
13,0,12,0.4784145177968426
13,0,16,0.4473518262092772
14,-1,2,1.0338846527410597
14,-1,4,0.8822668724541844
14,-1,8,0.6950466615488595
14,-1,12,0.6363153253206122
14,-1,16,0.5989633344057089
15,0,2,1.0171102893241486
15,0,4,0.7515987349107315
15,0,8,0.5433751875364989
15,0,12,0.498148462950866
15,0,16,0.4674840922359601
16,1,2,0.9328161430276569
16,1,4,0.7383897433156142
16,1,8,0.5524456801460188
16,1,12,0.5038852211820608
16,1,16,0.47450547611112626
17,-1,2,0.9446160164156756
17,-1,4,0.8168095709030704
17,-1,8,0.6701961440477944
17,-1,12,0.6294446694626841
17,-1,16,0.5944639661883889
18,-2,2,0.9511372567106258
18,-2,4,0.8535095762506525
18,-2,8,0.5803988862632586
18,-2,12,0.4895581467085448
18,-2,16,0.4550793526625389
19,-4,2,0.9982187691432547
19,-4,4,0.9232145460318211
19,-4,8,0.6010287889563826
19,-4,12,0.46894622191122237
19,-4,16,0.40859892947922594
20,-3,2,1.0754918301139582
20,-3,4,0.9297849375510747
20,-3,8,0.5734072421889015
20,-3,12,0.4835922306844303
20,-3,16,0.44749655043758285
21,2,2,1.0133834323932542
21,2,4,0.892712176062216
21,2,8,0.6541158474351324
21,2,12,0.5957381069767864
21,2,16,0.5572058675149233
22,1,2,1.0750396631513672
22,1,4,0.8852260166247904
22,1,8,0.662824585216095
22,1,12,0.6002235759366492
22,1,16,0.5658921933148182
23,1,2,0.9379108504082802
23,1,4,0.8090020771989682
23,1,8,0.6212983955760751
23,1,12,0.5662471721421757
23,1,16,0.5332547681872967
24,0,2,0.900164732912568
